condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
ry=MID + baa10y=TIGHT + se_10y=LOW,False,THIN,260,-0.0061,0.3923,-0.0142,260,0.0007,0.5115,-0.0272,260,-0.001,0.4885,-0.1144
ry=LOW + t10y2y=MID,False,ROBUST,1165,-0.001,0.4918,-0.0091,1165,0.0006,0.5047,-0.0273,1165,-0.0235,0.3957,-0.1369
t10y3m=MID,False,ROBUST,2257,-0.0013,0.4887,-0.0094,2235,0.0002,0.5011,-0.0277,2235,0.0132,0.5391,-0.1002
t10y2y=MID + usd=WEAK,False,MODERATE,405,0.014,0.6025,0.0059,405,-0.0003,0.4938,-0.0282,405,-0.0645,0.3556,-0.1779
breakeven=MID + se_10y=LOW,False,ROBUST,507,-0.0062,0.426,-0.0143,507,-0.0003,0.4911,-0.0282,507,-0.0148,0.3945,-0.1282
breakeven=MID + t10y2y=HIGH,False,MODERATE,840,-0.0021,0.4869,-0.0102,840,-0.0006,0.4964,-0.0285,840,-0.0138,0.4619,-0.1272
breakeven=MID + baa10y=WIDE,False,MODERATE,472,0.0044,0.5403,-0.0037,472,-0.0022,0.4852,-0.0301,472,-0.0359,0.3877,-0.1493
breakeven=HIGH + t10y2y=MID,False,ROBUST,672,0.0018,0.5104,-0.0063,640,-0.003,0.4719,-0.0309,554,0.0239,0.5668,-0.0895
baa10y=MID + t10y2y=MID,False,ROBUST,696,0.0,0.5,-0.0081,696,-0.0032,0.4784,-0.0311,696,0.0187,0.5862,-0.0947
se_10y=LOW + usd=MID,False,MODERATE,1301,-0.002,0.4719,-0.0101,1301,-0.0034,0.4812,-0.0313,1301,0.0026,0.5165,-0.1108
nominal_10y=LOW + t10y3m=MID,False,ROBUST,1473,-0.001,0.4915,-0.0091,1473,-0.0036,0.4793,-0.0315,1473,-0.0236,0.3978,-0.137
t10y2y=MID + usd=MID,False,ROBUST,1008,0.0011,0.5139,-0.007,1008,-0.0038,0.4782,-0.0317,1008,-0.0053,0.4573,-0.1187
ry=LOW + nominal_10y=LOW,False,ROBUST,1930,-0.0033,0.4694,-0.0114,1930,-0.0038,0.4782,-0.0317,1930,-0.021,0.4269,-0.1344
ry=LOW + baa10y=WIDE + breakeven=MID,False,THIN,280,-0.0027,0.4857,-0.0108,280,-0.0042,0.4607,-0.0321,280,-0.0918,0.1214,-0.2052
ry=MID + se_10y=HIGH,False,MODERATE,419,0.009,0.5728,0.0009,419,-0.0042,0.4749,-0.0321,419,0.1151,0.7995,0.0017
t10y3m=MID + usd=MID,False,ROBUST,1016,-0.0023,0.4715,-0.0104,1016,-0.0044,0.4754,-0.0323,1016,-0.0061,0.4518,-0.1195
