ticker,date,drift,return,stopped,days_to_stop,bucket
MU,2016-05-04,0.005999828291364029,0.18787305656773962,False,,2
DHI,2009-01-14,0.006087744653603622,0.22087803526162314,False,,2
WMB,2005-10-06,0.006695869393049669,-0.01951210707527767,False,,2
ULTA,2015-08-25,0.00678591010177465,0.0675307709841721,False,,2
ZBRA,2022-06-13,0.006960586319048723,0.024430711488102157,False,,2
ANET,2018-12-24,0.007411377451079337,0.16258540170906452,False,,2
HUM,2008-10-06,0.007450598439277645,-0.12571915945820636,False,,2
CMG,2011-08-08,0.007953388637397474,-0.03237876976762987,True,7.0,2
ALGN,2022-04-22,0.00798736673686462,-0.2455633429698737,False,,2
FTNT,2022-06-13,0.00844310781089641,0.09771524138598678,False,,2
TPL,2008-01-17,0.008462759467275482,-0.04447513075113731,False,,2
ON,2022-06-13,0.008560719544299156,-0.16357206233060265,False,,3
GDDY,2019-08-05,0.008899828868355941,-0.026615969581749048,False,,3
ELV,2020-02-25,0.009124896674243654,-7.42053147923218e-05,True,8.0,3
AXON,2020-03-16,0.009272997347540057,0.276369008114188,True,9.0,3
ON,2019-08-05,0.009523813594448205,-0.04384022727296783,False,,3
VLO,2005-11-10,0.009639259269909495,0.056455291938454354,False,,3
REGN,2019-04-17,0.01000076813006534,-0.06417435036868947,False,,3
AAPL,2018-12-24,0.010011013909788424,0.04477426495994138,False,,3
SBAC,2008-11-06,0.010039091579987058,-0.12810635142043186,False,,3
DECK,2008-09-29,0.010173287551205057,-0.07039604923834579,False,,3
AMD,2008-12-23,0.010204071702683226,0.2727272508339232,True,11.0,3
CCI,2008-10-27,0.010783450979588105,-0.015721909263729964,True,7.0,3
DELL,2020-02-25,0.010817733542459074,-0.38206341004116934,False,,3
BKNG,2011-09-30,0.01087982391695963,0.14409604057180256,False,,3
RVTY,2009-03-03,0.010998591209793851,0.0585768558289393,False,,3
AAPL,2022-06-14,0.01152483813625782,0.06426380070537127,False,,3
DAL,2020-03-16,0.011728655628369333,-0.38586820012128104,False,,3
ALGN,2022-06-14,0.012222797545903719,0.035478599104024997,False,,3
NVDA,2018-03-28,0.012469015800321337,0.021997936779552564,False,,3
ISRG,2018-10-24,0.012792102560438723,0.01910933440661603,True,14.0,3
AMD,2018-03-28,0.013251697778386085,0.01710262409159879,False,,3
DASH,2026-02-05,0.013325339606815145,-0.05281518150842112,False,,3
ON,2022-03-07,0.013826566843053723,0.24143020077498958,False,,3
GNRC,2020-03-16,0.013849136390464256,-0.0626552600703613,True,11.0,3
MRVL,2022-06-13,0.014136411877247124,-0.13171722809934486,False,,3
ALGN,2009-03-03,0.014749248014462202,0.004360426231421545,True,12.0,3
MSFT,2022-06-14,0.015624438221698789,0.0720872167844957,False,,3
TTWO,2020-09-10,0.016135239218487474,0.021299638989169676,False,,3
ON,2008-09-29,0.016260146842582035,-0.20480003356933593,False,,3
EOG,2005-10-06,0.016320105379582284,-0.0356394825949397,False,,3
OXY,2005-10-06,0.016442417504591633,-0.012709906935025083,False,,3
AVB,2011-08-08,0.016501838504142663,0.13976528008856653,False,,3
CRM,2011-08-08,0.016969356465917684,-0.005824413196128852,True,6.0,3
FSLR,2016-06-27,0.017182956004888172,-0.014447688411401222,True,6.0,3
DPZ,2015-08-24,0.01719376141709028,0.08318473841479178,False,,3
CMG,2022-09-26,0.017219474580522087,-0.009227576258389025,False,,3
SWKS,2019-05-13,0.01722550571043424,-0.10485427246045911,False,,3
MPWR,2022-06-13,0.01727221478225638,-0.06789678462715301,False,,3
SWKS,2020-09-10,0.017303935581025165,0.0673110307448729,False,,3
LRCX,2022-06-13,0.017325769887360787,-0.14235621332719792,False,,3
AKAM,2008-09-29,0.017473133527029283,0.010568021385988585,True,2.0,3
PLTR,2026-03-30,0.01795711498293251,0.042493906346869253,False,,3
INCY,2009-03-03,0.018018000602490147,0.08407082213372603,False,,3
CTSH,2008-09-29,0.018043823163758965,-0.1082089624001708,False,,3
EOG,2010-05-07,0.01814741380238094,0.021135612800813414,False,,3
NOW,2019-08-05,0.018885581362185988,0.01738897490399839,False,,3
QCOM,2022-04-11,0.018912556899695288,0.045968437362022475,False,,3
VLO,2005-10-06,0.019021734377973498,-0.05238018888364036,False,,3
TYL,2020-03-16,0.019446530510838445,0.0890806238028735,False,,3
EXR,2011-08-08,0.019618605285123047,0.06322156244631164,True,8.0,3
ROST,2015-08-24,0.019656038942673426,0.005340162106696523,False,,3
NVDA,2019-08-05,0.019961477205478806,0.05201558425798911,False,,3
TSCO,2015-08-24,0.01998069149256243,0.014662955058620353,False,,3
WYNN,2009-03-03,0.020254984565460266,0.2682925099018536,False,,3
DPZ,2011-08-08,0.020284489180832033,0.1865487020952998,False,,3
DHI,2009-03-03,0.020491928534218884,0.3467200024868948,False,,3
NOW,2016-06-27,0.020888942178683756,0.07676924191988431,False,,3
WYNN,2011-08-08,0.021117600706857198,0.049463390381115004,True,7.0,3
BKNG,2011-08-19,0.021271938763324005,0.15347890304457942,False,,3
INCY,2008-10-27,0.021390353877556167,0.0,True,6.0,3
CHTR,2020-03-16,0.021484968733421983,0.13656376232820858,False,,4
GLW,2018-10-11,0.021697622730220356,0.027795153865008002,False,,4
MRVL,2018-10-24,0.021765437964950785,-0.047337263625293155,False,,4
